0	-6.28319	-6.28319	0.00000	-15.70796
1	-6.28319	-6.27981	-0.00337	-15.69953
2	-6.28319	-6.25465	-0.02853	-15.63663
3	-6.28319	-6.20649	-0.07670	-15.51622
4	-6.28319	-6.14083	-0.14235	-15.35208
5	-6.28319	-6.06107	-0.22212	-15.15266
6	-6.28319	-5.96903	-0.31416	-14.92257
7	-6.28319	-5.86625	-0.41694	-14.66562
8	-6.28319	-5.75427	-0.52892	-14.38567
9	-6.28319	-5.63493	-0.64826	-14.08731
10	-6.28319	-5.50914	-0.77405	-13.77285
11	-6.28319	-5.37752	-0.90566	-13.44381
12	-6.28319	-5.24069	-1.04249	-13.10173
13	-6.28319	-5.10049	-1.18270	-12.75122
14	-6.28319	-4.95691	-1.32628	-12.39226
15	-6.28319	-4.80995	-1.47324	-12.02488
16	-6.28319	-4.65962	-1.62357	-11.64905
17	-6.28319	-4.50745	-1.77574	-11.26862
18	-6.28319	-4.35436	-1.92883	-10.88589
19	-6.28319	-4.20035	-2.08284	-10.50086
20	-6.28319	-4.04726	-2.23593	-10.11814
21	-6.28319	-3.89416	-2.38902	-9.73541
22	-6.28319	-3.74261	-2.54058	-9.35652
23	-6.28319	-3.59197	-2.69122	-8.97992
24	-6.28319	-3.44287	-2.84032	-8.60717
25	-6.28319	-3.29622	-2.98697	-8.24055
26	-6.28319	-3.15294	-3.13024	-7.88236
27	-6.28319	-3.01212	-3.27106	-7.53031
28	-6.28319	-2.87468	-3.40851	-7.18670
29	-6.28319	-2.74061	-3.54258	-6.85153
30	-6.28319	-2.60992	-3.67327	-6.52479
31	-6.28319	-2.48290	-3.80028	-6.20725
32	-6.28319	-2.35957	-3.92362	-5.89892
33	-6.28319	-2.24023	-4.04296	-5.60056
34	-6.28319	-2.12395	-4.15924	-5.30988
35	-6.28319	-2.01166	-4.27152	-5.02916
36	-6.28319	-1.90091	-4.38228	-4.75227
37	-6.28319	-1.79414	-4.48904	-4.48536
38	-6.28319	-1.69106	-4.59212	-4.22765
39	-6.28319	-1.59197	-4.69122	-3.97991
40	-6.28319	-1.49624	-4.78694	-3.74061
41	-6.28319	-1.40513	-4.87806	-3.51282
42	-6.28319	-1.31677	-4.96642	-3.29192
43	-6.28319	-1.23240	-5.05079	-3.08100
44	-6.28319	-1.15171	-5.13147	-2.87928
45	-6.28319	-1.07379	-5.20940	-2.68447
46	-6.28319	-0.99954	-5.28364	-2.49885
47	-6.28319	-0.92867	-5.35451	-2.32168
48	-6.28319	-0.86118	-5.42201	-2.15294
49	-6.28319	-0.79675	-5.48644	-1.99187
50	-6.28319	-0.73539	-5.54780	-1.83848
51	-6.28319	-0.67710	-5.60609	-1.69275
52	-6.28319	-0.62188	-5.66131	-1.55469
53	-6.28319	-0.56972	-5.71347	-1.42430
54	-6.28319	-0.52033	-5.76286	-1.30082
55	-6.28319	-0.47339	-5.80980	-1.18347
56	-6.28319	-0.42951	-5.85367	-1.07379
57	-6.28319	-0.38810	-5.89509	-0.97024
58	-6.28319	-0.34975	-5.93344	-0.87437
59	-6.28319	-0.31355	-5.96964	-0.78386
60	-6.28319	-0.27949	-6.00369	-0.69873
