0	6.28319	0.00000	11.30973
1	6.27981	0.00337	11.30366
2	6.25649	0.02669	11.26169
3	6.21262	0.07056	11.18272
4	6.15341	0.12977	11.07614
5	6.08193	0.20126	10.94747
6	5.99971	0.28348	10.79947
7	5.90859	0.37460	10.63546
8	5.81072	0.47247	10.45930
9	5.70641	0.57678	10.27153
10	5.59750	0.68569	10.07549
11	5.48552	0.79767	9.87393
12	5.37077	0.91241	9.66739
13	5.25388	1.02930	9.45699
14	5.13577	1.14742	9.24438
15	5.01734	1.26584	9.03122
16	4.89831	1.38488	8.81695
17	4.77927	1.50391	8.60269
18	4.66054	1.62264	8.38897
19	4.54212	1.74107	8.17581
20	4.42492	1.85826	7.96486
21	4.30742	1.97577	7.75335
22	4.19114	2.09204	7.54406
23	4.07548	2.20771	7.33587
24	3.96105	2.32214	7.12988
25	3.84784	2.43535	6.92611
26	3.73555	2.54764	6.72399
27	3.62510	2.65808	6.52519
28	3.51619	2.76699	6.32914
29	3.40912	2.87407	6.13641
30	3.30419	2.97899	5.94755
31	3.20142	3.08177	5.76255
32	3.10048	3.18270	5.58087
33	3.00169	3.28149	5.40305
34	2.90536	3.37783	5.22965
35	2.80995	3.47324	5.05790
36	2.71637	3.56681	4.88947
37	2.62464	3.65854	4.72435
38	2.53506	3.74813	4.56310
39	2.44731	3.83587	4.40516
40	2.36172	3.92147	4.25109
41	2.27796	4.00522	4.10033
42	2.19635	4.08683	3.95344
43	2.11720	4.16599	3.81096
44	2.03958	4.24360	3.67125
45	1.96472	4.31846	3.53650
46	1.89140	4.39179	3.40452
47	1.82053	4.46266	3.27695
48	1.75150	4.53169	3.15270
49	1.68492	4.59826	3.03286
50	1.62019	4.66299	2.91634
51	1.55791	4.72527	2.80424
52	1.49778	4.78541	2.69600
53	1.43949	4.84370	2.59108
54	1.38334	4.89984	2.49002
55	1.32904	4.95414	2.39227
56	1.27658	5.00661	2.29784
57	1.22565	5.05753	2.20617
58	1.17626	5.10693	2.11726
59	1.12901	5.15418	2.03222
60	1.08299	5.20019	1.94938
61	1.03851	5.24468	1.86931
62	0.99555	5.28763	1.79200
63	0.95414	5.32905	1.71744
64	0.91425	5.36893	1.64565
65	0.87560	5.40759	1.57607
66	0.83878	5.44440	1.50981
67	0.80350	5.47969	1.44630
68	0.76944	5.51374	1.38500
69	0.73631	5.54687	1.32536
70	0.70471	5.57847	1.26848
71	0.67434	5.60885	1.21381
72	0.64489	5.63830	1.16079
73	0.61697	5.66622	1.11054
74	0.58966	5.69352	1.06139
75	0.56328	5.71991	1.01390
76	0.53843	5.74476	0.96917
77	0.51450	5.76869	0.92610
78	0.49179	5.79139	0.88523
79	0.46971	5.81348	0.84547
80	0.44854	5.83465	0.80736
81	0.42829	5.85490	0.77092
82	0.40896	5.87423	0.73613
83	0.39086	5.89233	0.70354
84	0.37337	5.90981	0.67207
85	0.35680	5.92638	0.64225
86	0.34146	5.94172	0.61464
87	0.32704	5.95614	0.58868
88	0.31324	5.96995	0.56383
